,,,"Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 1","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 2","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 4","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6","Weather Station 6"
1988/09/25,1988,269,,,,,,,,,,,,,,23.46,4.135,0.366,,30.516,,,23.7,12.8,0.3,,26.76,,1.63
1988/09/26,1988,270,,,,,,,,,,,,,,24.27,3.363,0.352,,25.386,,,23.6,10.2,0.3,,22.44,,1.5
1988/09/27,1988,271,,,,,,,,,,,,,,16.29,-1.39,0.324,,23.982,,,18.2,1.5,0.4,,21.78,,1.7
1988/09/28,1988,272,,,,,,,,,,,,,,15.35,-1.28,0.297,,32.814,,,16.4,4,0.3,,29.22,,1
1988/09/29,1988,273,,,,,,,,,,,,,,18.34,1.44,0.443,,31.806,,,19.5,8.4,0.4,,28.38,,0.9
1988/09/30,1988,274,,,,,,,,,,,,,,21.8,3.016,0.425,,31.692,,,22.7,10.6,0.4,,28.5,,1
1988/10/01,1988,275,,,,,,,,,,,,,,23.97,4.019,0.376,,31.692,,,25.6,11.3,0.3,,28.38,,0.98
1988/10/02,1988,276,,,,,,,,,,,,,,26.16,4.444,0.353,,30.678,,,27.4,12.6,0.3,,27.42,,0.85
1988/10/03,1988,277,,,,,,,,,,,,,,26.7,4.987,0.329,,26.118,,,27.3,14.2,0.3,,22.8,,0.83
1988/10/04,1988,278,,,,,,,,,,,,,,26,5.336,0.34,,25.938,,,25.6,13.1,0.3,,24.36,,0.74
1988/10/05,1988,279,,,,,,,,,,,,,,26.37,3.478,0.424,,26.838,,,26.3,10.3,0.4,,24.06,,1
1988/10/06,1988,280,,,,,,,,,,,,,,21.94,2.4,0.496,,23.124,,,,,,,,,
1988/10/07,1988,281,,,,,,,,,,,,,,20.9,2.208,0.466,,29.574,,,,,,,,,
1988/10/08,1988,282,,,,,,,,,,,,,,22.57,1.901,0.408,,28.422,,,,,,,,,
1988/10/09,1988,283,,,,,,,,,,,,,,23.31,4.715,0.283,,27.516,,,,,,,,,
1988/10/10,1988,284,,,,,,,,,,,,,,20.94,0.251,0.317,,27.288,,,,,,,,,
1988/10/11,1988,285,,,,,,,,,,,,,,22.04,4.212,0.384,,22.05,,,,,,,,,
1988/10/12,1988,286,,,,,,,,,,,,,,16.16,-2.85,0.599,,15.366,,,,,,,,,
1988/10/13,1988,287,,,,,,,,,,,,,,19.97,4.522,0.622,,22.416,,,,,,,,,
1988/10/14,1988,288,,,,,,,,,,,,,,19.01,-0.783,0.561,,21.912,,,,,,,,,
1988/10/15,1988,289,,,,,,,,,,,,,,17.85,-0.017,0.509,,26.07,,,,,,,,,
1988/10/16,1988,290,,,,,,," "," ",,,,," ",19.19,1.325,0.539,,26.208,,,,,,,,,
1988/10/17,1988,291,,,,,,,22.62,8.94,0.566,,22.884,,3.332,19.78,2.208,0.573,,24.762,,,,,,,,,
1988/10/18,1988,292,,,,,,,23.06,8.86,0.517,,24.108,,2.845,21.04,3.286,0.501,,25.014,,,,,,,,,
1988/10/19,1988,293,,,,,,,18.97,7.013,0.6,,23.676,,2.941,18.38,-1.35,0.474,,24.636,,,,,,,,,
1988/10/20,1988,294,,,,,,,18.38,5.53,0.453,,20.406,,2.836,16.8,-1.78,0.487,,22.194,,,,,,,,,
1988/10/21,1988,295,,,,,,,21.04,5.686,0.382,,23.328,,3.036,19.01,-0.208,0.401,,24.174,,,,,,,,,
1988/10/22,1988,296,,,,,,,19.97,7.68,0.305,,21.108,,3.162,17.68,-0.23,0.31,,20.994,,,,,,,,,
1988/10/23,1988,297,,,,,,,20.9,7.013,0.31,,22.35,,3.141,19.06,-0.247,0.313,,23.286,,,,,,,,,
1988/10/24,1988,298,,,,,,,20.76,7.405,0.316,,21.702,,3.143,19.24,0.788,0.317,,22.68,,,,,,,,,
1988/10/25,1988,299,,,,,,,20.38,7.837,0.317,,21.138,,3.046,18.47,-0.247,0.345,,22.632,,,,,,,,,
1988/10/26,1988,300,,,,,,,21.61,7.916,0.405,,18.63,,2.932,?.56,-1.55,0.343,,20.976,,,,,,,,,
1988/10/27,1988,301,,,,,,,18.3,5.064,0.285,,18.384,,2.706,16.85,0.251,0.244,,20.664,,,,,,,,,
1988/10/28,1988,302,,,,,,,21.09,8.62,0.391,,17.844,,3.232,19.19,3.131,0.35,,19.992,,,,,,,,,
1988/10/29,1988,303,,,,,,,20.48,9.5,0.593,,16.194,,2.776,19.15,0.557,0.485,,18.972,,,,,,,,,
1988/10/30,1988,304,,,,,,,20.25,7.798,0.281,,18.93,,3.021,18.21,-1.28,0.298,,21.066,,,,,,,,,
1988/10/31,1988,305,,,,,,,21.04,6.856,0.277,,18.93,,2.944,19.06,0.557,0.266,,19.878,,,,,,,,,
1988/11/01,1988,306,,,,,,,20.52,9.26,0.624,,11.79,,3.285,18.43,1.862,0.475,,12.462,,,,,,,,,
1988/11/02,1988,307,,,,,,,15.69,6.935,0.746,,12.126,,2.154,14.93,-3.01,0.559,,12.948,,,,,,,,,
1988/11/03,1988,308,,,,,,,11.99,5.919,0.643,,6.474,,2.157,4.87,-5.29,0.415,,6.246,,,,,,,,,
1988/11/04,1988,309,,,,,,,11.75,4.328,0.486,,10.104,,2.951,9.42,-3.82,0.435,,12.03,,,,,,,,,
1988/11/05,1988,310,,,,,,,14.97,1.286,0.512,,17.586,,2.455,13.22,0.059,0.464,,18.198,,,,,,,,,
1988/11/06,1988,311,,,,,,,14.09,3.131,0.421,,9.342,,2.695,11.99,-5.45,0.367,,9.234,,,,,,,,,
1988/11/07,1988,312,,,,,,,10.25,-1.01,0.266,,12.708,,1.582,8.5,1.977,0.37,,14.556,,,,,,,,,
1988/11/08,1988,313,,,,,,,11.75,3.71,0.476,,15.42,,2.055,9.42,-1.74,0.382,,14.304,,,,,,,,,
1988/11/09,1988,314,,,,,,,8.31,0.481,0.42,,11.742,,2.083,6.856,-3.9,0.406,,12.216,,,,,,,,,
1988/11/10,1988,315,,,,,,,12.56,1.478,0.66,,8.64,,1.99,9.46,-3.12,0.465,,10.068,,,,,,,,,
1988/11/11,1988,316,,,,,,,5.803,-0.745,0.46,,9.108,,2.332,1.018,-8.76,0.349,,8.46,,,,,,,,,
1988/11/12,1988,317,,,,,,,7.484,-1.7,0.672,,5.514,,2.229,5.258,-5.22,0.41,,5.586,,,,,,,,,
1988/11/13,1988,318,,,,,,,14.8,1.478,0.51,,13.89,,5.159,12.56,-3.74,0.42,,10.272,,,,,,,,,
1988/11/14,1988,319,,,,,,,11.87,-2.58,0.46,,3.9456,,3.526,1.018,-10.6,0.342,,5.97,,,,,,,,,
1988/11/15,1988,320,,,,,,,3.17,-6.16,0.227,,10.254,,1.798,1.286,-10.5,0.314,,8.364,,,,,,,,,
1988/11/16,1988,321,,,,,,,5.297,-2.54,0.479,,13.662,,1.839,3.671,-3.16,0.36,,11.166,,,,,,,,,
1988/11/17,1988,322,,,,,,,5.181,-1.43,0.51,,6.6,,3.486,-1.55,-17.2,0.239,,5.034,,,,,,,,,
1988/11/18,1988,323,,,,,,,3.903,-6.95,0.26,,10.362,,1.631,-4.9,-15.7,0.194,,8.952,,,,,,,,,
1988/11/19,1988,324,,,,,,,2.246,-8.23,0.3,,9.804,,2.517,-2.12,-13.8,0.211,,9.198,,,,,,,,,
1988/11/20,1988,325,,,,,,,5.725,-6.87,0.35,,73.02,,2.264,6.974,-9.29,0.297,,15.426,,,,,,,,,
1988/11/21,1988,326,,,,,,,8.74,-3.7,0.342,,,,2.765,7.68,-5.53,0.348,,15.534,,,,,,,,,
1988/11/22,1988,327,,,,,,,9.22,1.785,0.561,,,,2.076,10.01,-0.63,0.441,,6.78,,,,,,,,,
1988/11/23,1988,328,,,,,,,13.71,-0.783,0.29,,6.318,,6.629,11.99,-7.91,0.338,,6.06,,,,,,,,,
1988/11/24,1988,329,,,,,,,4.715,-7.95,0.28,,11.13,,2.327,2.823,-15.5,0.205,,12.78,,,,,,,,,
1988/11/25,1988,330,,,,,,,2.439,-9.37,0.44,,8.97,,2.147,0.596,-8.03,0.27,,10.554,,,,,,,,,
1988/11/26,1988,331,,,,,,,-2.24,-5.37,0.3,,5.988,,3.033,-4.94,-14,0.234,,4.95,,,,,,,,,
1988/11/27,1988,332,,,,,,,3.054,-9.25,0.31,,13.086,,1.794,2.285,-12.7,0.253,,13.56,,,,,,,,,
1988/11/28,1988,333,,,,,,,2.477,-6.2,0.42,,1.0722,,2.897,-3.35,-9.37,0.289,,1.9332,,,,,,,,,
1988/11/29,1988,334,,,,,,,-0.132,-5.33,0.41,,6,,1.47,-6.59,-14.7,0.24,,4.44,,,,,,,,,
1988/11/30,1988,335,,,,,,,,,,,,,,4.019,-13.2,0.212,,13.188,,,,,,,,,
1988/12/01,1988,336,,,,,,,,,,,,,,8.15,-8.72,0.251,,12.936,,,,,,,,,
1988/12/02,1988,337,,,,,,,,,,,,,,11.79,-10.5,0.266,,13.98,,,,,,,,,
1988/12/03,1988,338,,,,,,,,,,,,,,12.03,-7.83,0.298,,12.99,,,,,,,,,
1988/12/04,1988,339,,,,,,,,,,,,,,10.25,-8.27,0.277,,10.542,,,,,,,,,
1988/12/05,1988,340,,,,,,,,,,,,,,11.42,-9.09,0.258,,13.014,,,,,,,,,
1988/12/06,1988,341,,,,,,,,,,,,,,4.87,-10.5,0.28,,8.52,,,,,,,,,
1988/12/07,1988,342,,,,,,,,,,,,,,5.491,-7.67,0.27,,11.748,,,,,,,,,
1988/12/08,1988,343,,,,,,,,,,,,,,4.948,-11.5,0.223,,12.408,,,,,,,,,
1988/12/09,1988,344,,,,,,,,,,,,,,6.075,-11.6,0.251,,12.9,,,,,,,,,
1988/12/10,1988,345,,,,,,,,,,,,,,1.593,-4.9,0.37,,6.654,,,,,,,,,
1988/12/11,1988,346,,,,,,," "," ",,," ",," ",2.785,-8.19,0.342,,6.726,,,,,,,,,
1988/12/12,1988,347,,,,,,,12.72,-1.09,0.41,,8.178,,1.82,10.53,-9,0.315,,12.12,,,,,,,,,
1988/12/13,1988,348,,,,,,,3.94,-4.24,0.24,,4.6806,,3.12,10.86,-4.28,0.392,,7.992,,,,,,,,,
1988/12/14,1988,349,,,,,,,-2.24,-6.55,0.29,,10.56,,7.64,2.054,-7.75,0.31,,4.482,,,,,,,,,
1988/12/15,1988,350,,,,,,,3.13,-8.27,0.18,,9.396,,1.99,1.363,-10.9,0.165,,12.846,,,,,,,,,
1988/12/16,1988,351,,,,,,,6.82,-7.39,0.38,,9.714,,1.49,5.453,-13.4,0.209,,12.096,,,,,,,,,
1988/12/17,1988,352,,,,,,,7.21,-3.9,0.43,,9.39,,1.54,10.17,-9.66,0.185,,12.792,,,,,,,,,
1988/12/18,1988,353,,,,,,,2.52,-5.26,0.51,,4.878,,2,13.01,-6.04,0.292,,12.594,,,,,,,,,
1988/12/19,1988,354,,,,,,,3.48,-2.89,0.49,,10.746,,2.48,-0.285,-7.91,0.321,,5.172,,,,,,,,,
1988/12/20,1988,355,,,,,,,2.9,-4.9,0.39,,2.2824,,4.06,2.439,-10.5,0.269,,10.938,,,,,,,,,
1988/12/21,1988,356,,,,,,,-0.4,-5.8,0.4,,6.732,,2.77,0.519,-9.13,0.336,,2.0472,,,,,,,,,
1988/12/22,1988,357,,,,,,,-2.28,-10.3,0.25,,7.35,,3.28,-3.24,-12.6,0.236,,7.788,,,,,,,,,
1988/12/23,1988,358,,,,,,,-0.21,-9.87,0.4,,8.01,,2.99,-5.33,-16.9,0.221,,6.606,,,,,,,,,
1988/12/24,1988,359,,,,,,,0.79,-6.91,0.29,,3.561,,4,-2.47,-16.4,0.217,,7.662,,,,,,,,,
1988/12/25,1988,360,,,,,,,-6.91,-16.5,0.18,,7.5,,2.73,-2.58,-13.3,0.27,,3.2724,,,,,,,,,
1988/12/26,1988,361,,,,,,,-5.76,-17.8,0.2,,8.898,,2.52,-13.3,-23.5,0.138,,7.122,,,,,,,,,
1988/12/27,1988,362,,,,,,,-6.16,-14.9,0.21,,9.018,,2.04,-8.52,-23.9,0.103,,0.12,,,,,,,,,
1988/12/28,1988,363,,,,,,,-3.43,-15.4,0.31,,9.552,,2.3,-6.67,-20.6,0.132,,11.25,,,,,,,,,
1988/12/29,1988,364,,,,,,,4.52,-9.13,0.31,,12.102,,1.94,-4.83,-21.7,0.143,,10.2,,,,,,,,,
1988/12/30,1988,365,,,,,,,3.13,-7.23,0.41,,9.186,,1.57,6.583,-10,0.264,,13.092,,,,,,,,,
1988/12/31,1988,366,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/01,1989,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/02,1989,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/03,1989,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/04,1989,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/05,1989,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/06,1989,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/07,1989,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/08,1989,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/09,1989,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/10,1989,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/11,1989,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/12,1989,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/13,1989,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/14,1989,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/15,1989,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/16,1989,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/17,1989,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/18,1989,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/19,1989,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/20,1989,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/21,1989,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/22,1989,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/23,1989,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/24,1989,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/25,1989,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/26,1989,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/27,1989,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/28,1989,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/29,1989,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/30,1989,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/01/31,1989,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/01,1989,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/02,1989,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/03,1989,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/04,1989,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/05,1989,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/06,1989,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/07,1989,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/08,1989,39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/09,1989,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/10,1989,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/11,1989,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/12,1989,43,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/13,1989,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/14,1989,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/15,1989,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/16,1989,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/17,1989,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/18,1989,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/19,1989,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/20,1989,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/21,1989,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/22,1989,53,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/23,1989,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/24,1989,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/25,1989,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/26,1989,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/27,1989,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/02/28,1989,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/01,1989,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/02,1989,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/03,1989,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/04,1989,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/05,1989,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/06,1989,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/07,1989,66,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/08,1989,67,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/09,1989,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/10,1989,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/11,1989,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/12,1989,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/13,1989,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/14,1989,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/15,1989,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/16,1989,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/17,1989,76,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/18,1989,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/19,1989,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/20,1989,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/21,1989,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/22,1989,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/23,1989,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/24,1989,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/25,1989,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/26,1989,85,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/27,1989,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/28,1989,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/29,1989,88,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/30,1989,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/03/31,1989,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/01,1989,91,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/02,1989,92,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/03,1989,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/04,1989,94,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/05,1989,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/06,1989,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/07,1989,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/08,1989,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/09,1989,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/10,1989,100,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/11,1989,101,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/12,1989,102,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/13,1989,103,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/14,1989,104,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/15,1989,105,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/16,1989,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/17,1989,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/18,1989,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/19,1989,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/20,1989,110,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/21,1989,111,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/22,1989,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/23,1989,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/24,1989,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/25,1989,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/26,1989,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/27,1989,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/28,1989,118,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/29,1989,119,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/04/30,1989,120,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/01,1989,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/02,1989,122,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/03,1989,123,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/04,1989,124,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/05,1989,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/06,1989,126,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/07,1989,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/08,1989,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/09,1989,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/10,1989,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/11,1989,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/12,1989,132,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/13,1989,133,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/14,1989,134,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/15,1989,135,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/16,1989,136,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/17,1989,137,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/18,1989,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/19,1989,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/20,1989,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/21,1989,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/22,1989,142,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/23,1989,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/24,1989,144,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/25,1989,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/26,1989,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/27,1989,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/28,1989,148,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/29,1989,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/30,1989,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/05/31,1989,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/01,1989,152,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/02,1989,153,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/03,1989,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/04,1989,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/05,1989,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/06,1989,157,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/07,1989,158,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/08,1989,159,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/09,1989,160,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/10,1989,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/11,1989,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/12,1989,163,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/13,1989,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/14,1989,165,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/15,1989,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/16,1989,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/17,1989,168,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/18,1989,169,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/19,1989,170,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/20,1989,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/21,1989,172,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/22,1989,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/23,1989,174,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/24,1989,175,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/25,1989,176,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/26,1989,177,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/27,1989,178,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/28,1989,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/29,1989,180,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/06/30,1989,181,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/01,1989,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/02,1989,183,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/03,1989,184,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/04,1989,185,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/05,1989,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/06,1989,187,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/07,1989,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/08,1989,189,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/09,1989,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/10,1989,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/11,1989,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989/07/12,1989,193,,,,,,,,,,,,,,,,,,,,,,,,,,,
